,Disease,Symptom
143,Chronic cholestasis, loss_of_appetite
144,Chronic cholestasis, abdominal_pain
145,Chronic cholestasis, yellowing_of_eyes
146,Chronic cholestasis,itching
147,Chronic cholestasis, vomiting
148,Chronic cholestasis, yellowish_skin
149,Chronic cholestasis, nausea
150,Chronic cholestasis, abdominal_pain
151,Chronic cholestasis, yellowing_of_eyes
152,Chronic cholestasis,itching
153,Chronic cholestasis, vomiting
154,Chronic cholestasis, yellowish_skin
155,Chronic cholestasis, nausea
156,Chronic cholestasis, loss_of_appetite
157,Chronic cholestasis, yellowing_of_eyes
158,Chronic cholestasis,itching
159,Chronic cholestasis, vomiting
160,Chronic cholestasis, yellowish_skin
161,Chronic cholestasis, nausea
162,Chronic cholestasis, loss_of_appetite
163,Chronic cholestasis, abdominal_pain
164,Chronic cholestasis,itching
165,Chronic cholestasis, vomiting
166,Chronic cholestasis, yellowish_skin
167,Chronic cholestasis, nausea
168,Chronic cholestasis, loss_of_appetite
169,Chronic cholestasis, abdominal_pain
170,Chronic cholestasis, yellowing_of_eyes
171,Chronic cholestasis,itching
172,Chronic cholestasis, vomiting
173,Chronic cholestasis, yellowish_skin
174,Chronic cholestasis, nausea
175,Chronic cholestasis, loss_of_appetite
176,Chronic cholestasis, abdominal_pain
177,Chronic cholestasis, yellowing_of_eyes
178,Drug Reaction,itching
179,Drug Reaction, skin_rash
180,Drug Reaction, stomach_pain
181,Drug Reaction, burning_micturition
182,Drug Reaction, spotting_ urination
183,Drug Reaction,itching
184,Drug Reaction, stomach_pain
185,Drug Reaction, burning_micturition
186,Drug Reaction, spotting_ urination
187,Drug Reaction,itching
188,Drug Reaction, skin_rash
189,Drug Reaction, burning_micturition
190,Drug Reaction, spotting_ urination
191,Drug Reaction,itching
192,Drug Reaction, skin_rash
193,Drug Reaction, stomach_pain
194,Drug Reaction, spotting_ urination
195,Drug Reaction,itching
196,Drug Reaction, skin_rash
197,Drug Reaction, stomach_pain
198,Drug Reaction, burning_micturition
199,Drug Reaction, skin_rash
200,Drug Reaction, stomach_pain
201,Drug Reaction, burning_micturition
202,Drug Reaction, spotting_ urination
203,Drug Reaction,itching
204,Drug Reaction, stomach_pain
205,Drug Reaction, burning_micturition
206,Drug Reaction, spotting_ urination
207,Drug Reaction,itching
208,Drug Reaction, skin_rash
209,Drug Reaction, burning_micturition
210,Drug Reaction, spotting_ urination
211,Drug Reaction,itching
212,Drug Reaction, skin_rash
213,Drug Reaction, stomach_pain
214,Drug Reaction, spotting_ urination
215,Drug Reaction,itching
216,Drug Reaction, skin_rash
217,Drug Reaction, stomach_pain
218,Drug Reaction, burning_micturition
219,Peptic ulcer diseae, vomiting
220,Peptic ulcer diseae, loss_of_appetite
221,Peptic ulcer diseae, abdominal_pain
222,Peptic ulcer diseae, passage_of_gases
223,Peptic ulcer diseae, internal_itching
224,Peptic ulcer diseae, vomiting
225,Peptic ulcer diseae, indigestion
226,Peptic ulcer diseae, abdominal_pain
227,Peptic ulcer diseae, passage_of_gases
228,Peptic ulcer diseae, internal_itching
229,Peptic ulcer diseae, indigestion
230,Peptic ulcer diseae, loss_of_appetite
231,Peptic ulcer diseae, abdominal_pain
232,Peptic ulcer diseae, passage_of_gases
233,Peptic ulcer diseae, internal_itching
234,Peptic ulcer diseae, vomiting
235,Peptic ulcer diseae, loss_of_appetite
236,Peptic ulcer diseae, abdominal_pain
237,Peptic ulcer diseae, passage_of_gases
238,Peptic ulcer diseae, internal_itching
239,Peptic ulcer diseae, vomiting
240,Peptic ulcer diseae, indigestion
241,Peptic ulcer diseae, abdominal_pain
242,Peptic ulcer diseae, passage_of_gases
243,Peptic ulcer diseae, internal_itching
244,Peptic ulcer diseae, vomiting
245,Peptic ulcer diseae, indigestion
246,Peptic ulcer diseae, loss_of_appetite
247,Peptic ulcer diseae, passage_of_gases
248,Peptic ulcer diseae, internal_itching
249,Peptic ulcer diseae, vomiting
250,Peptic ulcer diseae, indigestion
251,Peptic ulcer diseae, loss_of_appetite
252,Peptic ulcer diseae, abdominal_pain
253,Peptic ulcer diseae, internal_itching
254,Peptic ulcer diseae, vomiting
255,Peptic ulcer diseae, indigestion
256,Peptic ulcer diseae, loss_of_appetite
257,Peptic ulcer diseae, abdominal_pain
258,Peptic ulcer diseae, passage_of_gases
259,Peptic ulcer diseae, vomiting
260,Peptic ulcer diseae, indigestion
261,Peptic ulcer diseae, loss_of_appetite
262,Peptic ulcer diseae, abdominal_pain
263,Peptic ulcer diseae, passage_of_gases
264,Peptic ulcer diseae, internal_itching
265,Peptic ulcer diseae, vomiting
266,Peptic ulcer diseae, indigestion
267,Peptic ulcer diseae, loss_of_appetite
268,Peptic ulcer diseae, abdominal_pain
269,Peptic ulcer diseae, passage_of_gases
270,Peptic ulcer diseae, internal_itching
271,AIDS, muscle_wasting
272,AIDS, patches_in_throat
273,AIDS, high_fever
274,AIDS, extra_marital_contacts
275,AIDS, patches_in_throat
276,AIDS, high_fever
277,AIDS, extra_marital_contacts
278,AIDS, muscle_wasting
279,AIDS, high_fever
280,AIDS, extra_marital_contacts
281,AIDS, muscle_wasting
282,AIDS, patches_in_throat
283,AIDS, extra_marital_contacts
284,AIDS, muscle_wasting
285,AIDS, patches_in_throat
286,AIDS, high_fever
287,AIDS, muscle_wasting
288,AIDS, patches_in_throat
289,AIDS, high_fever
290,AIDS, extra_marital_contacts
291,AIDS, muscle_wasting
292,AIDS, patches_in_throat
293,AIDS, high_fever
294,AIDS, extra_marital_contacts
295,AIDS, patches_in_throat
296,AIDS, high_fever
297,AIDS, extra_marital_contacts
298,AIDS, muscle_wasting
299,AIDS, high_fever
300,AIDS, extra_marital_contacts
301,AIDS, muscle_wasting
302,AIDS, patches_in_throat
303,AIDS, high_fever
304,Diabetes , fatigue
305,Diabetes , weight_loss
306,Diabetes , restlessness
307,Diabetes , lethargy
308,Diabetes , irregular_sugar_level
309,Diabetes , blurred_and_distorted_vision
310,Diabetes , obesity
311,Diabetes , excessive_hunger
312,Diabetes , increased_appetite
313,Diabetes , polyuria
314,Diabetes , fatigue
315,Diabetes , weight_loss
316,Diabetes , restlessness
317,Diabetes , lethargy
318,Diabetes , irregular_sugar_level
319,Diabetes , blurred_and_distorted_vision
320,Diabetes , obesity
321,Diabetes , excessive_hunger
322,Diabetes , increased_appetite
323,Diabetes , polyuria
324,Diabetes , weight_loss
325,Diabetes , restlessness
326,Diabetes , lethargy
327,Diabetes , irregular_sugar_level
328,Diabetes , blurred_and_distorted_vision
329,Diabetes , obesity
330,Diabetes , excessive_hunger
331,Diabetes , increased_appetite
332,Diabetes , polyuria
333,Diabetes , fatigue
334,Diabetes , restlessness
335,Diabetes , lethargy
336,Diabetes , irregular_sugar_level
337,Diabetes , blurred_and_distorted_vision
338,Diabetes , obesity
339,Diabetes , excessive_hunger
340,Diabetes , increased_appetite
341,Diabetes , polyuria
342,Diabetes , fatigue
343,Diabetes , weight_loss
344,Diabetes , lethargy
345,Diabetes , irregular_sugar_level
346,Diabetes , blurred_and_distorted_vision
347,Diabetes , obesity
348,Diabetes , excessive_hunger
349,Diabetes , increased_appetite
350,Diabetes , polyuria
351,Diabetes , fatigue
352,Diabetes , weight_loss
353,Diabetes , restlessness
354,Diabetes , irregular_sugar_level
355,Diabetes , blurred_and_distorted_vision
356,Diabetes , obesity
357,Diabetes , excessive_hunger
358,Diabetes , increased_appetite
359,Diabetes , polyuria
360,Diabetes , fatigue
361,Diabetes , weight_loss
362,Diabetes , restlessness
363,Diabetes , lethargy
364,Diabetes , blurred_and_distorted_vision
365,Diabetes , obesity
366,Diabetes , excessive_hunger
367,Diabetes , increased_appetite
368,Diabetes , polyuria
369,Diabetes , fatigue
370,Diabetes , weight_loss
371,Diabetes , restlessness
372,Diabetes , lethargy
373,Diabetes , irregular_sugar_level
374,Diabetes , obesity
375,Diabetes , excessive_hunger
376,Diabetes , increased_appetite
377,Diabetes , polyuria
378,Diabetes , fatigue
379,Diabetes , weight_loss
380,Diabetes , restlessness
381,Diabetes , lethargy
382,Diabetes , irregular_sugar_level
383,Diabetes , blurred_and_distorted_vision
384,Diabetes , excessive_hunger
385,Diabetes , increased_appetite
386,Diabetes , polyuria
387,Diabetes , fatigue
388,Diabetes , weight_loss
389,Diabetes , restlessness
390,Diabetes , lethargy
391,Diabetes , irregular_sugar_level
392,Diabetes , blurred_and_distorted_vision
393,Diabetes , obesity
394,Diabetes , increased_appetite
395,Diabetes , polyuria
396,Gastroenteritis, vomiting
397,Gastroenteritis, sunken_eyes
398,Gastroenteritis, dehydration
399,Gastroenteritis, diarrhoea
400,Gastroenteritis, vomiting
401,Gastroenteritis, sunken_eyes
402,Gastroenteritis, dehydration
403,Gastroenteritis, diarrhoea
404,Gastroenteritis, sunken_eyes
405,Gastroenteritis, dehydration
406,Gastroenteritis, diarrhoea
407,Gastroenteritis, vomiting
408,Gastroenteritis, dehydration
409,Gastroenteritis, diarrhoea
410,Gastroenteritis, vomiting
411,Gastroenteritis, sunken_eyes
412,Gastroenteritis, diarrhoea
413,Gastroenteritis, vomiting
414,Gastroenteritis, sunken_eyes
415,Gastroenteritis, dehydration
416,Gastroenteritis, vomiting
417,Gastroenteritis, sunken_eyes
418,Gastroenteritis, dehydration
419,Gastroenteritis, diarrhoea
420,Gastroenteritis, sunken_eyes
421,Gastroenteritis, dehydration
422,Gastroenteritis, diarrhoea
423,Gastroenteritis, vomiting
424,Gastroenteritis, dehydration
425,Gastroenteritis, diarrhoea
426,Gastroenteritis, vomiting
427,Gastroenteritis, sunken_eyes
428,Gastroenteritis, diarrhoea
429,Bronchial Asthma, fatigue
430,Bronchial Asthma, cough
431,Bronchial Asthma, high_fever
432,Bronchial Asthma, breathlessness
433,Bronchial Asthma, family_history
434,Bronchial Asthma, mucoid_sputum
435,Bronchial Asthma, cough
436,Bronchial Asthma, high_fever
437,Bronchial Asthma, breathlessness
438,Bronchial Asthma, family_history
439,Bronchial Asthma, mucoid_sputum
440,Bronchial Asthma, fatigue
441,Bronchial Asthma, high_fever
442,Bronchial Asthma, breathlessness
443,Bronchial Asthma, family_history
444,Bronchial Asthma, mucoid_sputum
445,Bronchial Asthma, fatigue
446,Bronchial Asthma, cough
447,Bronchial Asthma, breathlessness
448,Bronchial Asthma, family_history
449,Bronchial Asthma, mucoid_sputum
450,Bronchial Asthma, fatigue
451,Bronchial Asthma, cough
452,Bronchial Asthma, high_fever
453,Bronchial Asthma, family_history
454,Bronchial Asthma, mucoid_sputum
455,Bronchial Asthma, fatigue
456,Bronchial Asthma, cough
457,Bronchial Asthma, high_fever
458,Bronchial Asthma, breathlessness
459,Bronchial Asthma, mucoid_sputum
460,Bronchial Asthma, fatigue
461,Bronchial Asthma, cough
462,Bronchial Asthma, high_fever
463,Bronchial Asthma, breathlessness
464,Bronchial Asthma, family_history
465,Bronchial Asthma, fatigue
466,Bronchial Asthma, cough
467,Bronchial Asthma, high_fever
468,Bronchial Asthma, breathlessness
469,Bronchial Asthma, family_history
470,Bronchial Asthma, mucoid_sputum
471,Bronchial Asthma, cough
472,Bronchial Asthma, high_fever
473,Bronchial Asthma, breathlessness
474,Bronchial Asthma, family_history
475,Bronchial Asthma, mucoid_sputum
476,Bronchial Asthma, fatigue
477,Bronchial Asthma, high_fever
478,Bronchial Asthma, breathlessness
479,Bronchial Asthma, family_history
480,Bronchial Asthma, mucoid_sputum
481,Hypertension , headache
482,Hypertension , chest_pain
483,Hypertension , dizziness
484,Hypertension , loss_of_balance
485,Hypertension , lack_of_concentration
486,Hypertension , chest_pain
487,Hypertension , dizziness
488,Hypertension , loss_of_balance
489,Hypertension , lack_of_concentration
490,Hypertension , headache
491,Hypertension , dizziness
492,Hypertension , loss_of_balance
493,Hypertension , lack_of_concentration
494,Hypertension , headache
495,Hypertension , chest_pain
496,Hypertension , loss_of_balance
497,Hypertension , lack_of_concentration
498,Hypertension , headache
499,Hypertension , chest_pain
500,Hypertension , dizziness
501,Hypertension , lack_of_concentration
502,Hypertension , headache
503,Hypertension , chest_pain
504,Hypertension , dizziness
505,Hypertension , loss_of_balance
506,Hypertension , headache
507,Hypertension , chest_pain
508,Hypertension , dizziness
509,Hypertension , loss_of_balance
510,Hypertension , lack_of_concentration
511,Hypertension , chest_pain
512,Hypertension , dizziness
513,Hypertension , loss_of_balance
514,Hypertension , lack_of_concentration
515,Hypertension , headache
516,Hypertension , dizziness
517,Hypertension , loss_of_balance
518,Hypertension , lack_of_concentration
519,Hypertension , headache
520,Hypertension , chest_pain
521,Hypertension , loss_of_balance
522,Hypertension , lack_of_concentration
523,Migraine, acidity
524,Migraine, indigestion
525,Migraine, headache
526,Migraine, blurred_and_distorted_vision
527,Migraine, excessive_hunger
528,Migraine, stiff_neck
529,Migraine, depression
530,Migraine, irritability
531,Migraine, visual_disturbances
532,Migraine, indigestion
533,Migraine, headache
534,Migraine, blurred_and_distorted_vision
535,Migraine, excessive_hunger
536,Migraine, stiff_neck
537,Migraine, depression
538,Migraine, irritability
539,Migraine, visual_disturbances
540,Migraine, acidity
541,Migraine, headache
542,Migraine, blurred_and_distorted_vision
543,Migraine, excessive_hunger
544,Migraine, stiff_neck
545,Migraine, depression
546,Migraine, irritability
547,Migraine, visual_disturbances
548,Migraine, acidity
549,Migraine, indigestion
550,Migraine, blurred_and_distorted_vision
551,Migraine, excessive_hunger
552,Migraine, stiff_neck
553,Migraine, depression
554,Migraine, irritability
555,Migraine, visual_disturbances
556,Migraine, acidity
557,Migraine, indigestion
558,Migraine, headache
559,Migraine, excessive_hunger
560,Migraine, stiff_neck
561,Migraine, depression
562,Migraine, irritability
563,Migraine, visual_disturbances
564,Migraine, acidity
565,Migraine, indigestion
566,Migraine, headache
567,Migraine, blurred_and_distorted_vision
568,Migraine, stiff_neck
569,Migraine, depression
570,Migraine, irritability
571,Migraine, visual_disturbances
572,Migraine, acidity
573,Migraine, indigestion
574,Migraine, headache
575,Migraine, blurred_and_distorted_vision
576,Migraine, excessive_hunger
577,Migraine, depression
578,Migraine, irritability
579,Migraine, visual_disturbances
580,Migraine, acidity
581,Migraine, indigestion
582,Migraine, headache
583,Migraine, blurred_and_distorted_vision
584,Migraine, excessive_hunger
585,Migraine, stiff_neck
586,Migraine, irritability
587,Migraine, visual_disturbances
588,Migraine, acidity
589,Migraine, indigestion
590,Migraine, headache
591,Migraine, blurred_and_distorted_vision
592,Migraine, excessive_hunger
593,Migraine, stiff_neck
594,Migraine, depression
595,Migraine, visual_disturbances
596,Migraine, acidity
597,Migraine, indigestion
598,Migraine, headache
599,Migraine, blurred_and_distorted_vision
600,Migraine, excessive_hunger
601,Migraine, stiff_neck
602,Migraine, depression
603,Migraine, irritability
604,Cervical spondylosis, back_pain
605,Cervical spondylosis, weakness_in_limbs
606,Cervical spondylosis, neck_pain
607,Cervical spondylosis, dizziness
608,Cervical spondylosis, loss_of_balance
609,Cervical spondylosis, back_pain
610,Cervical spondylosis, weakness_in_limbs
611,Cervical spondylosis, neck_pain
612,Cervical spondylosis, dizziness
613,Cervical spondylosis, loss_of_balance
614,Cervical spondylosis, weakness_in_limbs
615,Cervical spondylosis, neck_pain
616,Cervical spondylosis, dizziness
617,Cervical spondylosis, loss_of_balance
618,Cervical spondylosis, back_pain
619,Cervical spondylosis, neck_pain
620,Cervical spondylosis, dizziness
621,Cervical spondylosis, loss_of_balance
622,Cervical spondylosis, back_pain
623,Cervical spondylosis, weakness_in_limbs
624,Cervical spondylosis, dizziness
625,Cervical spondylosis, loss_of_balance
626,Cervical spondylosis, back_pain
627,Cervical spondylosis, weakness_in_limbs
628,Cervical spondylosis, neck_pain
629,Cervical spondylosis, loss_of_balance
630,Cervical spondylosis, back_pain
631,Cervical spondylosis, weakness_in_limbs
632,Cervical spondylosis, neck_pain
633,Cervical spondylosis, dizziness
634,Cervical spondylosis, back_pain
635,Cervical spondylosis, weakness_in_limbs
636,Cervical spondylosis, neck_pain
637,Cervical spondylosis, dizziness
638,Cervical spondylosis, loss_of_balance
639,Cervical spondylosis, weakness_in_limbs
640,Cervical spondylosis, neck_pain
641,Cervical spondylosis, dizziness
642,Cervical spondylosis, loss_of_balance
643,Cervical spondylosis, back_pain
644,Cervical spondylosis, neck_pain
645,Cervical spondylosis, dizziness
646,Cervical spondylosis, loss_of_balance
647,Paralysis (brain hemorrhage), vomiting
648,Paralysis (brain hemorrhage), headache
649,Paralysis (brain hemorrhage), weakness_of_one_body_side
650,Paralysis (brain hemorrhage), altered_sensorium
651,Paralysis (brain hemorrhage), vomiting
652,Paralysis (brain hemorrhage), headache
653,Paralysis (brain hemorrhage), weakness_of_one_body_side
654,Paralysis (brain hemorrhage), altered_sensorium
655,Paralysis (brain hemorrhage), headache
656,Paralysis (brain hemorrhage), weakness_of_one_body_side
657,Paralysis (brain hemorrhage), altered_sensorium
658,Paralysis (brain hemorrhage), vomiting
659,Paralysis (brain hemorrhage), weakness_of_one_body_side
660,Paralysis (brain hemorrhage), altered_sensorium
661,Paralysis (brain hemorrhage), vomiting
662,Paralysis (brain hemorrhage), headache
663,Paralysis (brain hemorrhage), altered_sensorium
664,Paralysis (brain hemorrhage), vomiting
665,Paralysis (brain hemorrhage), headache
666,Paralysis (brain hemorrhage), weakness_of_one_body_side
667,Paralysis (brain hemorrhage), vomiting
668,Paralysis (brain hemorrhage), headache
669,Paralysis (brain hemorrhage), weakness_of_one_body_side
670,Paralysis (brain hemorrhage), altered_sensorium
671,Paralysis (brain hemorrhage), headache
672,Paralysis (brain hemorrhage), weakness_of_one_body_side
673,Paralysis (brain hemorrhage), altered_sensorium
674,Paralysis (brain hemorrhage), vomiting
675,Paralysis (brain hemorrhage), weakness_of_one_body_side
676,Paralysis (brain hemorrhage), altered_sensorium
677,Paralysis (brain hemorrhage), vomiting
678,Paralysis (brain hemorrhage), headache
679,Paralysis (brain hemorrhage), altered_sensorium
680,Jaundice,itching
681,Jaundice, vomiting
682,Jaundice, fatigue
683,Jaundice, weight_loss
684,Jaundice, high_fever
685,Jaundice, yellowish_skin
686,Jaundice, dark_urine
687,Jaundice, abdominal_pain
688,Jaundice,itching
689,Jaundice, vomiting
690,Jaundice, fatigue
691,Jaundice, weight_loss
692,Jaundice, high_fever
693,Jaundice, yellowish_skin
694,Jaundice, dark_urine
695,Jaundice, abdominal_pain
696,Jaundice, vomiting
697,Jaundice, fatigue
698,Jaundice, weight_loss
699,Jaundice, high_fever
700,Jaundice, yellowish_skin
701,Jaundice, dark_urine
702,Jaundice, abdominal_pain
703,Jaundice,itching
704,Jaundice, fatigue
705,Jaundice, weight_loss
706,Jaundice, high_fever
707,Jaundice, yellowish_skin
708,Jaundice, dark_urine
709,Jaundice, abdominal_pain
710,Jaundice,itching
711,Jaundice, vomiting
712,Jaundice, weight_loss
713,Jaundice, high_fever
714,Jaundice, yellowish_skin
715,Jaundice, dark_urine
716,Jaundice, abdominal_pain
717,Jaundice,itching
718,Jaundice, vomiting
719,Jaundice, fatigue
720,Jaundice, high_fever
721,Jaundice, yellowish_skin
722,Jaundice, dark_urine
723,Jaundice, abdominal_pain
724,Jaundice,itching
725,Jaundice, vomiting
726,Jaundice, fatigue
727,Jaundice, weight_loss
728,Jaundice, yellowish_skin
729,Jaundice, dark_urine
730,Jaundice, abdominal_pain
731,Jaundice,itching
732,Jaundice, vomiting
733,Jaundice, fatigue
734,Jaundice, weight_loss
735,Jaundice, high_fever
736,Jaundice, dark_urine
737,Jaundice, abdominal_pain
738,Jaundice,itching
739,Jaundice, vomiting
740,Jaundice, fatigue
741,Jaundice, weight_loss
742,Jaundice, high_fever
743,Jaundice, yellowish_skin
744,Jaundice, abdominal_pain
745,Jaundice,itching
746,Jaundice, vomiting
747,Jaundice, fatigue
748,Jaundice, weight_loss
749,Jaundice, high_fever
750,Jaundice, yellowish_skin
751,Jaundice, dark_urine
752,Malaria, chills
753,Malaria, vomiting
754,Malaria, high_fever
755,Malaria, sweating
756,Malaria, headache
757,Malaria, nausea
758,Malaria, muscle_pain
759,Malaria, chills
760,Malaria, vomiting
761,Malaria, high_fever
762,Malaria, sweating
763,Malaria, headache
764,Malaria, nausea
765,Malaria, diarrhoea
766,Malaria, muscle_pain
767,Malaria, chills
768,Malaria, vomiting
769,Malaria, high_fever
770,Malaria, sweating
771,Malaria, headache
772,Malaria, nausea
773,Malaria, diarrhoea
774,Malaria, muscle_pain
775,Malaria, vomiting
776,Malaria, high_fever
777,Malaria, sweating
778,Malaria, headache
779,Malaria, nausea
780,Malaria, diarrhoea
781,Malaria, muscle_pain
782,Malaria, chills
783,Malaria, high_fever
784,Malaria, sweating
785,Malaria, headache
786,Malaria, nausea
787,Malaria, diarrhoea
788,Malaria, muscle_pain
789,Malaria, chills
790,Malaria, vomiting
791,Malaria, sweating
792,Malaria, headache
793,Malaria, nausea
794,Malaria, diarrhoea
795,Malaria, muscle_pain
796,Malaria, chills
797,Malaria, vomiting
798,Malaria, high_fever
799,Malaria, headache
800,Malaria, nausea
801,Malaria, diarrhoea
802,Malaria, muscle_pain
803,Malaria, chills
804,Malaria, vomiting
805,Malaria, high_fever
806,Malaria, sweating
807,Malaria, nausea
808,Malaria, diarrhoea
809,Malaria, muscle_pain
810,Malaria, chills
811,Malaria, vomiting
812,Malaria, high_fever
813,Malaria, sweating
814,Malaria, headache
815,Malaria, diarrhoea
816,Malaria, muscle_pain
817,Malaria, chills
818,Malaria, vomiting
819,Malaria, high_fever
820,Malaria, sweating
821,Malaria, headache
822,Malaria, nausea
823,Malaria, muscle_pain
824,Chicken pox,itching
825,Chicken pox, skin_rash
826,Chicken pox, fatigue
827,Chicken pox, lethargy
828,Chicken pox, high_fever
829,Chicken pox, headache
830,Chicken pox, loss_of_appetite
831,Chicken pox, mild_fever
832,Chicken pox, swelled_lymph_nodes
833,Chicken pox, malaise
834,Chicken pox, red_spots_over_body
835,Chicken pox, skin_rash
836,Chicken pox, fatigue
837,Chicken pox, lethargy
838,Chicken pox, high_fever
839,Chicken pox, headache
840,Chicken pox, loss_of_appetite
841,Chicken pox, mild_fever
842,Chicken pox, swelled_lymph_nodes
843,Chicken pox, malaise
844,Chicken pox, red_spots_over_body
845,Chicken pox,itching
846,Chicken pox, fatigue
847,Chicken pox, lethargy
848,Chicken pox, high_fever
849,Chicken pox, headache
850,Chicken pox, loss_of_appetite
851,Chicken pox, mild_fever
852,Chicken pox, swelled_lymph_nodes
853,Chicken pox, malaise
854,Chicken pox, red_spots_over_body
855,Chicken pox,itching
856,Chicken pox, skin_rash
857,Chicken pox, lethargy
858,Chicken pox, high_fever
859,Chicken pox, headache
860,Chicken pox, loss_of_appetite
861,Chicken pox, mild_fever
862,Chicken pox, swelled_lymph_nodes
863,Chicken pox, malaise
864,Chicken pox, red_spots_over_body
865,Chicken pox,itching
866,Chicken pox, skin_rash
867,Chicken pox, fatigue
868,Chicken pox, high_fever
869,Chicken pox, headache
870,Chicken pox, loss_of_appetite
871,Chicken pox, mild_fever
872,Chicken pox, swelled_lymph_nodes
873,Chicken pox, malaise
874,Chicken pox, red_spots_over_body
875,Chicken pox,itching
876,Chicken pox, skin_rash
877,Chicken pox, fatigue
878,Chicken pox, lethargy
879,Chicken pox, headache
880,Chicken pox, loss_of_appetite
881,Chicken pox, mild_fever
882,Chicken pox, swelled_lymph_nodes
883,Chicken pox, malaise
884,Chicken pox, red_spots_over_body
885,Chicken pox,itching
886,Chicken pox, skin_rash
887,Chicken pox, fatigue
888,Chicken pox, lethargy
889,Chicken pox, high_fever
890,Chicken pox, loss_of_appetite
891,Chicken pox, mild_fever
892,Chicken pox, swelled_lymph_nodes
893,Chicken pox, malaise
